condition_id,method,bit_width,seed,task,example_index,example_id,batch_id,batch_size,batch_padded_prompt_tokens,prompt_tokens,generated_tokens,batch_prefill_seconds,batch_decode_seconds,batch_decode_steps,batch_total_seconds,prefill_seconds,decode_seconds,decode_seconds_per_token,total_seconds,peak_gpu_memory_bytes,theoretical_kv_bytes_per_token,actual_cache_dtype
learned_K2_V16_s29,learned,2,29,qasper,7,1bd9a082bd7b5ab6c152dbda3db38c0c3bc92cddf82383a3,qasper_batch0000_examples7-7,1,3606,3606,35,0.9691043123602867,1.3981978297233582,34,2.3892783746123314,0.9691043123602867,1.3981978297233582,0.04112346558009877,2.3892783746123314,17103787520,74752,bfloat16 reconstructed-key emulation
learned_K2_V16_s29,learned,2,29,multifieldqa_en,11,94ccf4d54b36e7e9d4aa594a7bc426528630a5b8aff296a4,multifieldqa_en_batch0000_examples11-11,1,4473,4473,6,0.8285680711269379,0.21915461868047714,5,1.0489191114902496,0.8285680711269379,0.21915461868047714,0.04383092373609543,1.0489191114902496,17333701632,74752,bfloat16 reconstructed-key emulation
learned_K2_V16_s29,learned,2,29,hotpotqa,0,1dae9ec530a93f43f85bd215a5c0e6737dbcf226cd3541d8,hotpotqa_batch0000_examples0-0,1,6122,6122,5,1.1595973074436188,0.2012580707669258,4,1.361883521080017,1.1595973074436188,0.2012580707669258,0.05031451769173145,1.361883521080017,17793822720,74752,bfloat16 reconstructed-key emulation
learned_K2_V16_s29,learned,2,29,2wikimqa,21,0bc3341fffaad3e92d14d64b539df741528ef4e2b76e9632,2wikimqa_batch0000_examples21-21,1,2343,2343,8,0.4356899708509445,0.2599042057991028,7,0.6971863210201263,0.4356899708509445,0.2599042057991028,0.03712917225701468,0.6971863210201263,16740943360,74752,bfloat16 reconstructed-key emulation
learned_K2_V16_s29,learned,2,29,gov_report,54,a3a11ee5de13be1f6ab405e8e1b29f2cd07929fe9112561a,gov_report_batch0000_examples54-54,1,3962,3962,502,0.7247799336910248,21.27885463833809,501,22.115295976400375,0.7247799336910248,21.27885463833809,0.04247276374917782,22.115295976400375,17329515520,74752,bfloat16 reconstructed-key emulation
learned_K2_V16_s29,learned,2,29,multi_news,0,3cfe6d5139ea2e17d17b9c8d040c015c3db4936578091cf6,multi_news_batch0000_examples0-0,1,1010,1010,392,0.19238711893558502,14.488076478242874,391,14.767243526875973,0.19238711893558502,14.488076478242876,0.03705390403642679,14.767243526875975,16478700032,74752,bfloat16 reconstructed-key emulation
learned_K2_V16_s29,learned,2,29,trec,49,7dfc677d5d152f68d56844b67c26eae5ade79afb3e99f801,trec_batch0000_examples49-49,1,4917,4917,64,0.9218955338001251,2.8508003652095795,63,3.7863969206809998,0.9218955338001251,2.8508003652095795,0.0452507994477711,3.7863969206809998,17476132864,74752,bfloat16 reconstructed-key emulation
learned_K2_V16_s29,learned,2,29,triviaqa,25,37a77de08c5dc62fc4b4d08ab6066e178e82d32387ce084f,triviaqa_batch0000_examples25-25,1,4393,4393,32,0.8247865661978722,1.3406558856368065,31,2.172333464026451,0.8247865661978722,1.3406558856368065,0.04324696405280021,2.172333464026451,17318660096,74752,bfloat16 reconstructed-key emulation
learned_K2_V16_s29,learned,2,29,samsum,19,0bf52d18ccff2e111ad516892321685343c9dac7140bdef0,samsum_batch0000_examples19-19,1,5127,5127,128,0.9744489192962646,5.871336720883846,127,6.873902589082718,0.9744489192962646,5.871336720883846,0.04623099780223501,6.873902589082718,17552607744,74752,bfloat16 reconstructed-key emulation
learned_K2_V16_s29,learned,2,29,passage_count,22,288f4e37f101d146d77c62f996e4e9570b2771c27bc81979,passage_count_batch0000_examples22-22,1,3258,3258,2,0.6016205176711082,0.040435969829559326,1,0.6423847302794456,0.6016205176711082,0.040435969829559326,0.040435969829559326,0.6423847302794456,16995678720,74752,bfloat16 reconstructed-key emulation
learned_K2_V16_s29,learned,2,29,passage_retrieval_en,0,f363b5cfe63d7095514d7273aaa2e31dbfa73f10a71fd7d8,passage_retrieval_en_batch0000_examples0-0,1,4596,4596,10,0.852310910820961,0.3975222483277321,9,1.2519077733159065,0.852310910820961,0.3975222483277321,0.04416913870308134,1.2519077733159065,17369077760,74752,bfloat16 reconstructed-key emulation
learned_K2_V16_s29,learned,2,29,lcc,42,94f103d8d6177a4ab0d0ed90f9dbd86d375978f8e3f81181,lcc_batch0000_examples42-42,1,2180,2180,64,0.4085424393415451,2.3447186648845673,63,2.7670565843582153,0.4085424393415451,2.3447186648845673,0.037217756585469323,2.7670565843582153,16711138304,74752,bfloat16 reconstructed-key emulation
learned_K2_V16_s29,learned,2,29,repobench-p,1,4d2668d05f3f636a1bb6b0389a03b382f3f3e06b19dec51d,repobench-p_batch0000_examples1-1,1,6470,6470,64,1.2318608835339546,3.2245898246765137,63,4.47037286311388,1.2318608835339546,3.2245898246765137,0.051183965471055776,4.47037286311388,17906126336,74752,bfloat16 reconstructed-key emulation
