condition_id,method,bit_width,seed,task,example_index,example_id,prompt_tokens,generated_tokens,prefill_seconds,decode_seconds,decode_seconds_per_token,total_seconds,peak_gpu_memory_bytes,theoretical_kv_bytes_per_token,actual_cache_dtype
fp16,fp16,,,qasper,0,b26174d8ec97e8d01421548d3a640e8382db6235eb506661,4448,45,1.5434415861964226,2.033611498773098,0.046218443153934044,3.5902293249964714,20114225664,131072,bfloat16 reconstructed-key emulation
fp16,fp16,,,multifieldqa_en,0,45e06726b160cfb851e2179017f90e37f4f4dec62f346e33,5289,9,1.0143396854400635,0.35929975658655167,0.04491246957331896,1.3754272237420082,20876118016,131072,bfloat16 reconstructed-key emulation
fp16,fp16,,,hotpotqa,0,1dae9ec530a93f43f85bd215a5c0e6737dbcf226cd3541d8,6122,5,1.1839502602815628,0.19403854757547379,0.048509636893868446,1.3791042268276215,21634307584,131072,bfloat16 reconstructed-key emulation
fp16,fp16,,,2wikimqa,0,8c17c1259ed0c31bff3ee48ef8a6c4c54469c7769ffbc1c1,4203,14,0.7958976253867149,0.5286478400230408,0.04066521846331083,1.3273891508579254,19888813056,131072,bfloat16 reconstructed-key emulation
fp16,fp16,,,gov_report,0,f91242d1926360ba71923587c1ba63e18d6a3ba749e6fbf6,3025,381,0.5710479170084,13.993202030658722,0.03682421587015453,14.641926974058151,18821177344,131072,bfloat16 reconstructed-key emulation
fp16,fp16,,,multi_news,0,3cfe6d5139ea2e17d17b9c8d040c015c3db4936578091cf6,1010,444,0.19430193305015564,12.927817180752754,0.029182431559261295,13.202427431941032,16992593920,131072,bfloat16 reconstructed-key emulation
fp16,fp16,,,trec,0,37ada5a32aa71f2b906e18d53a6b0e82ab87ba4590b65583,1435,64,0.28084055334329605,1.9007402062416077,0.0301704794641525,2.1930207163095474,17373210624,131072,bfloat16 reconstructed-key emulation
fp16,fp16,,,triviaqa,0,a6b0e6b9bf53f05d1569572cebd9359a0d4136a026613c7d,5540,32,1.0741681531071663,1.4153192266821861,0.04565545892523181,2.4959390461444855,21103900160,131072,bfloat16 reconstructed-key emulation
fp16,fp16,,,samsum,0,158b7db2e111643f66315da64d8459f61ad6dd62f5f24c2c,2849,128,0.5419133454561234,4.524162068963051,0.03562332337766182,5.102879010140896,18659058688,131072,bfloat16 reconstructed-key emulation
fp16,fp16,,,passage_count,0,0358aa51ab38acc1b97405f4307203e982cbb19500435368,4509,32,0.8666194081306458,1.2936694100499153,0.04173127129193275,2.16603996604681,20170155008,131072,bfloat16 reconstructed-key emulation
fp16,fp16,,,passage_retrieval_en,0,f363b5cfe63d7095514d7273aaa2e31dbfa73f10a71fd7d8,4596,4,0.8700121268630028,0.12800771743059158,0.042669239143530525,0.998730942606926,20246370816,131072,bfloat16 reconstructed-key emulation
fp16,fp16,,,lcc,0,5a3807e791e54f080c852b4a4ffaa104dc61429725efd608,1748,64,0.32733234763145447,1.9585433602333069,0.031087989844973126,2.296779841184616,17677330944,131072,bfloat16 reconstructed-key emulation
fp16,fp16,,,repobench-p,0,2f63d9a3d25c12812b10eb407a92d3744aaa94835463eb5b,6046,64,1.1799670085310936,2.9937395229935646,0.04751967496815182,4.185164645314217,21566841344,131072,bfloat16 reconstructed-key emulation
