condition_id,method,bit_width,seed,task,example_index,example_id,prompt_tokens,generated_tokens,prefill_seconds,decode_seconds,decode_seconds_per_token,total_seconds,peak_gpu_memory_bytes,theoretical_kv_bytes_per_token,actual_cache_dtype
random_b2_s17,random,2,17,qasper,0,b26174d8ec97e8d01421548d3a640e8382db6235eb506661,4448,8,1.453412801027298,0.5123228579759598,0.07318897971085139,1.9716894552111626,20132183040,74752,bfloat16 reconstructed-key emulation
random_b2_s17,random,2,17,multifieldqa_en,0,45e06726b160cfb851e2179017f90e37f4f4dec62f346e33,5289,9,1.0511512607336044,0.37507836520671844,0.046884795650839806,1.427839033305645,20892895744,74752,bfloat16 reconstructed-key emulation
random_b2_s17,random,2,17,hotpotqa,0,1dae9ec530a93f43f85bd215a5c0e6737dbcf226cd3541d8,6122,3,1.2271485775709152,0.10235802829265594,0.05117901414632797,1.3300859406590462,21650814976,74752,bfloat16 reconstructed-key emulation
random_b2_s17,random,2,17,2wikimqa,0,8c17c1259ed0c31bff3ee48ef8a6c4c54469c7769ffbc1c1,4203,5,0.8263299092650414,0.1720362901687622,0.04300907254219055,0.999355636537075,19905590784,74752,bfloat16 reconstructed-key emulation
random_b2_s17,random,2,17,gov_report,0,f91242d1926360ba71923587c1ba63e18d6a3ba749e6fbf6,3025,352,0.5926420539617538,13.582382746040821,0.03869624713971744,14.239076279103756,18837377536,74752,bfloat16 reconstructed-key emulation
random_b2_s17,random,2,17,multi_news,0,3cfe6d5139ea2e17d17b9c8d040c015c3db4936578091cf6,1010,398,0.20258942246437073,13.907075233757496,0.035030416205938275,14.183604590594769,17005502464,74752,bfloat16 reconstructed-key emulation
random_b2_s17,random,2,17,trec,0,37ada5a32aa71f2b906e18d53a6b0e82ab87ba4590b65583,1435,64,0.2920391783118248,2.213383696973324,0.03513307455513212,2.517605111002922,17389988352,74752,bfloat16 reconstructed-key emulation
random_b2_s17,random,2,17,triviaqa,0,a6b0e6b9bf53f05d1569572cebd9359a0d4136a026613c7d,5540,32,1.113606534898281,1.4776107668876648,0.04766486344798919,2.5970680341124535,21120677888,74752,bfloat16 reconstructed-key emulation
random_b2_s17,random,2,17,samsum,0,158b7db2e111643f66315da64d8459f61ad6dd62f5f24c2c,2849,128,0.5629170909523964,4.773730508983135,0.037588429204591614,5.3595618307590485,18675836416,74752,bfloat16 reconstructed-key emulation
random_b2_s17,random,2,17,passage_count,0,0358aa51ab38acc1b97405f4307203e982cbb19500435368,4509,10,0.898554764688015,0.3945535495877266,0.04383928328752518,1.2948461696505547,20185310720,74752,bfloat16 reconstructed-key emulation
random_b2_s17,random,2,17,passage_retrieval_en,0,f363b5cfe63d7095514d7273aaa2e31dbfa73f10a71fd7d8,4596,4,0.9020179659128189,0.1341543197631836,0.04471810658772787,1.036897473037243,20262951936,74752,bfloat16 reconstructed-key emulation
random_b2_s17,random,2,17,lcc,0,5a3807e791e54f080c852b4a4ffaa104dc61429725efd608,1748,64,0.34010548144578934,2.199590004980564,0.03491412706318356,2.5505104660987854,17696058368,74752,bfloat16 reconstructed-key emulation
random_b2_s17,random,2,17,repobench-p,0,2f63d9a3d25c12812b10eb407a92d3744aaa94835463eb5b,6046,64,1.2227940186858177,3.1209578290581703,0.0495390131596535,4.355257257819176,21582414848,74752,bfloat16 reconstructed-key emulation
