allocation,step,minibatch_original_scale_mse,full_original_scale_mse,validation_original_scale_mse,learning_rate,gradient_norm
uniform2,0,,0.5279393196105957,0.5408060550689697,0.005,
uniform2,100,0.2852863073348999,,0.33777862787246704,0.004998828080868612,0.02392810769379139
uniform2,200,0.2652798295021057,,0.3207007050514221,0.004995313480017143,0.02316047064960003
uniform2,300,0.2570992410182953,,0.3153129518032074,0.004989459665932312,0.02291940525174141
uniform2,400,0.2512188255786896,,0.31225305795669556,0.004981272415621887,0.022734075784683228
uniform2,500,0.24807554483413696,,0.31059491634368896,0.004970759808913454,0.022828232496976852
uniform2,600,0.24533629417419434,,0.3096437454223633,0.004957932220480639,0.02292930893599987
uniform2,700,0.24331863224506378,,0.3088029623031616,0.004942802309604528,0.02257874421775341
uniform2,800,0.24165800213813782,,0.30817660689353943,0.0049253850076805055,0.022636957466602325
uniform2,900,0.24047377705574036,,0.307578980922699,0.004905697503482748,0.022819755598902702
uniform2,1000,0.23936940729618073,,0.3072621524333954,0.004883759226200999,0.02237684838473797
uniform2,1100,0.23852379620075226,,0.30697327852249146,0.004859591826266294,0.022696221247315407
uniform2,1200,0.23790355026721954,,0.30665087699890137,0.004833219153984604,0.02259085513651371
uniform2,1300,0.236792653799057,,0.30637049674987793,0.004804667235999464,0.022296855226159096
uniform2,1400,0.23631492257118225,,0.3060055375099182,0.004773964249606805,0.022380907088518143
uniform2,1500,0.2356681227684021,,0.30586302280426025,0.0047411404949473735,0.02230815216898918
uniform2,1600,0.23528824746608734,,0.3058006167411804,0.004706228365104172,0.022377200424671173
uniform2,1700,0.2349613606929779,,0.30544430017471313,0.004669262314134359,0.022249987348914146
uniform2,1800,0.23427459597587585,,0.3052203059196472,0.004630278823067276,0.022163327783346176
uniform2,1900,0.23369216918945312,,0.3052607476711273,0.0045893163639020755,0.021819116547703743
uniform2,2000,0.23373538255691528,,0.3051624894142151,0.004546415361640496,0.021827127784490585
uniform2,2100,0.23318573832511902,,0.3048885464668274,0.004501618154392257,0.0218413844704628
uniform2,2200,0.2325354367494583,,0.30467909574508667,0.004454968951592488,0.021580642089247704
uniform2,2300,0.23203203082084656,,0.30449414253234863,0.004406513790372333,0.021509822458028793
uniform2,2400,0.23152127861976624,,0.3044625520706177,0.004356300490125841,0.02120506763458252
uniform2,2500,0.2313484251499176,,0.30434849858283997,0.004304378605318036,0.021300744265317917
uniform2,2600,0.23094168305397034,,0.3041771650314331,0.004250799376580624,0.0212418045848608
uniform2,2700,0.231026291847229,,0.3039872348308563,0.004195615680143662,0.02141283079981804
uniform2,2800,0.2303496152162552,,0.3039962649345398,0.004138881975653123,0.021230630576610565
uniform2,2900,0.23013503849506378,,0.30378931760787964,0.004080654252425782,0.02094815857708454
uniform2,3000,0.2297721654176712,,0.3038457930088043,0.004020989974194565,0.020814506337046623
uniform2,3100,0.22996056079864502,,0.30358442664146423,0.0039599480223987335,0.020949319005012512
uniform2,3200,0.22938334941864014,,0.3035157322883606,0.0038975886380750177,0.020776066929101944
uniform2,3300,0.22847327589988708,,0.3034754693508148,0.003833973362407014,0.02038818970322609
uniform2,3400,0.2288806140422821,,0.3034207820892334,0.0037691649759914363,0.020431360229849815
uniform2,3500,0.22809314727783203,,0.3030824363231659,0.0037032274368812654,0.020121753215789795
uniform2,3600,0.22775602340698242,,0.30314356088638306,0.003636225817466876,0.020072199404239655
uniform2,3700,0.2275243103504181,,0.3029717803001404,0.0035682262402574154,0.019960224628448486
uniform2,3800,0.22712969779968262,,0.30279022455215454,0.0034992958126259053,0.019581707194447517
uniform2,3900,0.22674652934074402,,0.3027067482471466,0.003429502560582341,0.019787734374403954
