comparison_id,allocation,contrast,candidate_condition_id,reference_condition_id,task,category,example_id,manifest_index,dataset_length,length_bucket,candidate_score,reference_score,difference,outcome
uniform2_random_minus_identity,uniform2,random_minus_identity,uniform2_random_s35,uniform2_identity,qasper,Single QA,8e5e6c35689e17e9f50df76ada506a4c05be9ed081c883d4,,3732,0-4k,0.0,2.2727272727272725,-2.2727272727272725,loss
uniform2_random_minus_identity,uniform2,random_minus_identity,uniform2_random_s35,uniform2_identity,qasper,Single QA,1bd9a082bd7b5ab6c152dbda3db38c0c3bc92cddf82383a3,,2720,0-4k,9.09090909090909,0.0,9.09090909090909,win
uniform2_random_minus_identity,uniform2,random_minus_identity,uniform2_random_s35,uniform2_identity,qasper,Single QA,a3db996005cb6103e9e3a8d19712c6866285e0df89a1b264,,3815,0-4k,0.0,8.695652173913043,-8.695652173913043,loss
uniform2_random_minus_identity,uniform2,random_minus_identity,uniform2_random_s35,uniform2_identity,qasper,Single QA,4ec441a68f88d757c758ad09d9c710c7af94895bb544f3b6,,3409,0-4k,0.0,0.0,0.0,tie
uniform2_random_minus_identity,uniform2,random_minus_identity,uniform2_random_s35,uniform2_identity,qasper,Single QA,bd1fcb1c0f33cf6bc44554bff4ec86fed2a4fc90e8d18cdf,,2836,0-4k,0.0,0.0,0.0,tie
uniform2_random_minus_identity,uniform2,random_minus_identity,uniform2_random_s35,uniform2_identity,qasper,Single QA,d1aa1132439bd292965634095bf1c9943e062bb6645ff78c,,3307,0-4k,0.0,0.0,0.0,tie
uniform2_random_minus_identity,uniform2,random_minus_identity,uniform2_random_s35,uniform2_identity,qasper,Single QA,a98bc410d113f968de393f3da14435b31b34a8ce2ccec169,,3158,0-4k,0.0,0.0,0.0,tie
uniform2_random_minus_identity,uniform2,random_minus_identity,uniform2_random_s35,uniform2_identity,qasper,Single QA,86d091f9a2a36e97ae2f587ff9e1beb3e41c34862d70451e,,3570,0-4k,19.672131147540984,6.299212598425196,13.372918549115788,win
uniform2_random_minus_identity,uniform2,random_minus_identity,uniform2_random_s35,uniform2_identity,qasper,Single QA,c5692a8d9bf0880f0cb4d893511e2b9245a914f828cebcf6,,2009,0-4k,100.0,0.0,100.0,win
uniform2_random_minus_identity,uniform2,random_minus_identity,uniform2_random_s35,uniform2_identity,qasper,Single QA,ba8b9314903599bb79e4a4148ebae6ae59c5d717a1a2a936,,1899,0-4k,100.0,0.0,100.0,win
uniform2_random_minus_identity,uniform2,random_minus_identity,uniform2_random_s35,uniform2_identity,qasper,Single QA,3e0ebe8cd7c6ad2ed6b011e47c1a06464ae4eed1b47c9d37,,2361,0-4k,100.0,0.0,100.0,win
uniform2_random_minus_identity,uniform2,random_minus_identity,uniform2_random_s35,uniform2_identity,qasper,Single QA,83246d680e84d965de12202eeca2955546e9261630d543c5,,1671,0-4k,18.181818181818183,6.060606060606061,12.121212121212121,win
uniform2_random_minus_identity,uniform2,random_minus_identity,uniform2_random_s35,uniform2_identity,qasper,Single QA,5a66bf2184751add62aab933cf9076dc61faf39f716d2e72,,1912,0-4k,0.0,0.0,0.0,tie
uniform2_random_minus_identity,uniform2,random_minus_identity,uniform2_random_s35,uniform2_identity,qasper,Single QA,33c06a5e9eb93d7a970d8e42e3ab04467182eef7113c5c5f,,3846,0-4k,0.0,0.0,0.0,tie
uniform2_random_minus_identity,uniform2,random_minus_identity,uniform2_random_s35,uniform2_identity,qasper,Single QA,a62a087ff34f25cc4f76205a1431eb4c2254d4ad01c630d4,,2759,0-4k,90.0,0.0,90.0,win
uniform2_random_minus_identity,uniform2,random_minus_identity,uniform2_random_s35,uniform2_identity,qasper,Single QA,7dbc40699fa6742050f798cfeea408507ca4b90811be532d,,2823,0-4k,0.0,0.0,0.0,tie
