bit_width,task,category,random_mean,learned_mean,difference,confidence_interval_low,confidence_interval_high,seed_wins
2,qasper,Single QA,30.528122073317704,44.695812275077294,14.16769020175959,-2.8034646179083493,30.001622698844773,3
2,multifieldqa_en,Single QA,37.466393060996175,39.40874903991702,1.942355978920844,-3.4145569437288708,7.673306136001896,1
2,hotpotqa,Multi QA,29.839506172839506,37.666666666666664,7.827160493827158,-1.4444444444444444,18.333333333333332,2
2,2wikimqa,Multi QA,27.970716915746152,35.07101086048454,7.1002939447383895,-7.780116959064328,23.14118629908103,2
2,gov_report,Summarization,31.237190559138153,31.82827995475451,0.5910893956163576,-1.9066801004015907,3.0372050430086164,2
2,multi_news,Summarization,21.266028529086444,22.092434024242664,0.8264054951562194,-0.834851737269901,2.3977874130929715,2
2,trec,Few-shot,62.22222222222223,60.0,-2.2222222222222285,-17.77777777777778,13.333333333333334,1
2,triviaqa,Few-shot,92.70933977455717,92.6984126984127,-0.010927076144469083,-6.2939958592132506,5.695680929376535,2
2,samsum,Few-shot,42.871998673124004,46.67857965878046,3.8065809856564528,0.11168414979939705,7.58933405269757,3
2,passage_count,Synthetic,4.444444444444445,15.324074074074074,10.87962962962963,0.0,21.99074074074074,3
2,passage_retrieval_en,Synthetic,65.55555555555556,85.55555555555554,19.999999999999986,7.777777777777778,32.22222222222222,2
2,lcc,Code,53.15555555555556,56.22222222222222,3.066666666666663,-5.155555555555556,10.977777777777778,2
2,repobench-p,Code,47.31111111111111,56.93333333333334,9.622222222222227,2.111111111111111,17.422777777777767,3
3,qasper,Single QA,53.03597348204253,52.41609110292523,-0.6198823791172998,-13.837414051761211,12.228680557091675,1
3,multifieldqa_en,Single QA,38.74508959973992,38.46438972547745,-0.2806998742624671,-3.6847506167837945,3.105510245967243,2
3,hotpotqa,Multi QA,40.02469135802469,38.01234567901235,-2.0123456790123413,-9.506172839506174,4.506172839506172,1
3,2wikimqa,Multi QA,39.1812865497076,44.78692457639826,5.605638026690663,-9.777807767281452,21.90194931773879,3
3,gov_report,Summarization,33.98799423314441,34.094161984807045,0.10616775166263182,-0.6072237666401789,0.8551075501841091,1
3,multi_news,Summarization,22.54692034419591,22.632980381960706,0.08606003776479554,-0.38888032239529297,0.6003825109144051,2
3,trec,Few-shot,75.55555555555556,73.33333333333333,-2.2222222222222285,-13.333333333333334,8.88888888888889,0
3,triviaqa,Few-shot,91.08225108225109,93.86243386243386,2.78018278018277,-2.433862433862435,11.515151515151517,2
3,samsum,Few-shot,50.5597585054763,49.611059870507994,-0.9486986349683093,-4.682330149447142,2.2043021123258986,1
3,passage_count,Synthetic,16.984126984126984,13.333333333333334,-3.6507936507936503,-13.055555555555555,5.515873015873016,1
3,passage_retrieval_en,Synthetic,93.33333333333333,95.55555555555554,2.2222222222222143,0.0,6.666666666666667,1
3,lcc,Code,76.28888888888889,77.71111111111111,1.4222222222222172,-2.7999999999999994,6.556111111111103,2
3,repobench-p,Code,64.86666666666666,64.84444444444445,-0.022222222222211485,-8.4,8.688888888888888,1
4,qasper,Single QA,57.59468090545437,62.67216830750516,5.077487402050792,-2.34579160892992,12.816350643293157,3
4,multifieldqa_en,Single QA,37.02095037741395,39.155203667872975,2.1342532904590215,0.19473800344939798,4.522954059053155,2
4,hotpotqa,Multi QA,43.04938271604939,41.11640211640212,-1.9329805996472658,-13.520546737213401,7.333333333333333,1
4,2wikimqa,Multi QA,44.96732026143791,44.09356725146199,-0.8737530099759212,-12.094943240454075,12.514619883040934,1
4,gov_report,Summarization,34.30902397210387,34.397117775928024,0.088093803824151,-1.030782543207322,1.234927979746557,2
4,multi_news,Summarization,22.39085040303704,22.53761874264946,0.14676833961242153,-0.870976848863943,1.0733448599033175,2
4,trec,Few-shot,73.33333333333333,73.33333333333333,0.0,0.0,0.0,0
4,triviaqa,Few-shot,92.6984126984127,94.92063492063492,2.2222222222222285,0.0,6.666666666666667,1
4,samsum,Few-shot,51.087790747702826,50.84388724453697,-0.2439035031658534,-2.102198781942077,1.4203421252744128,1
4,passage_count,Synthetic,24.814814814814813,15.185185185185185,-9.629629629629628,-21.48148148148148,1.8518518518518516,1
4,passage_retrieval_en,Synthetic,93.33333333333333,93.33333333333333,0.0,0.0,0.0,0
4,lcc,Code,76.37777777777778,76.8888888888889,0.51111111111112,-2.0,3.2888888888888888,2
4,repobench-p,Code,59.55555555555555,59.333333333333336,-0.22222222222221433,-6.333888888888888,4.911111111111111,2
