bit_width,category,fp16,identity,random_mean,learned_mean,learned_minus_random
2,Single QA,53.01906170874707,2.7378536108263294,33.997257567156936,42.05228065749716,8.055023090340221
2,Multi QA,53.44444444444444,1.9114351535404168,28.905111544292833,36.3688387635756,7.46372721928277
2,Summarization,28.40135417549732,1.5593088241025983,26.2516095441123,26.96035698949859,0.7087474453862903
2,Few-shot,73.25908239212997,8.027428007286327,65.93452022330113,66.45899745239772,0.5244772290965898
2,Synthetic,56.666666666666664,6.0,35.0,50.43981481481481,15.43981481481481
2,Code,69.63333333333333,22.733333333333334,50.23333333333333,56.577777777777776,6.3444444444444485
3,Single QA,53.01906170874707,12.188892832880644,45.89053154089123,45.440240414201334,-0.4502911266898977
3,Multi QA,53.44444444444444,4.79262031016417,39.602988953866145,41.3996351277053,1.7966461738391573
3,Summarization,28.40135417549732,11.14498279343157,28.267457288670162,28.36357118338388,0.09611389471371723
3,Few-shot,73.25908239212997,27.75188535114064,72.3991883810943,72.26894235542505,-0.13024602566925125
3,Synthetic,56.666666666666664,5.0,55.15873015873016,54.444444444444436,-0.7142857142857224
3,Code,69.63333333333333,14.533333333333333,70.57777777777777,71.27777777777777,0.7000000000000028
4,Single QA,53.01906170874707,25.810143742240186,47.30781564143416,50.913685987689064,3.6058703462549033
4,Multi QA,53.44444444444444,6.226323281122042,44.00835148874364,42.60498468393205,-1.40336680481159
4,Summarization,28.40135417549732,23.51749516299777,28.349937187570458,28.467368259288744,0.11743107171828626
4,Few-shot,73.25908239212997,59.1628585304752,72.37317892648295,73.03261849950174,0.659439573018787
4,Synthetic,56.666666666666664,7.986111111111111,59.07407407407407,54.25925925925926,-4.8148148148148096
4,Code,69.63333333333333,39.8,67.96666666666667,68.11111111111111,0.1444444444444457
