pair_id,first_condition_id,second_condition_id,task,category,examples,mean_difference,example_wins,example_ties,example_losses
activation_k_pca_h_minus_wk_pca_h,activation_k_pca_h_K2_V16,wk_pca_h_K2_V16,qasper,Single QA,15,-18.494816885024754,1,5,9
activation_k_pca_h_minus_wk_pca_h,activation_k_pca_h_K2_V16,wk_pca_h_K2_V16,multifieldqa_en,Single QA,15,4.419691986033043,6,5,4
activation_k_pca_h_minus_wk_pca_h,activation_k_pca_h_K2_V16,wk_pca_h_K2_V16,hotpotqa,Multi QA,15,-6.518518518518518,4,8,3
activation_k_pca_h_minus_wk_pca_h,activation_k_pca_h_K2_V16,wk_pca_h_K2_V16,2wikimqa,Multi QA,15,-6.666666666666667,1,12,2
activation_k_pca_h_minus_wk_pca_h,activation_k_pca_h_K2_V16,wk_pca_h_K2_V16,gov_report,Summarization,15,0.0592331695466432,7,0,8
activation_k_pca_h_minus_wk_pca_h,activation_k_pca_h_K2_V16,wk_pca_h_K2_V16,multi_news,Summarization,15,-1.9307835097810215,4,0,11
activation_k_pca_h_minus_wk_pca_h,activation_k_pca_h_K2_V16,wk_pca_h_K2_V16,trec,Few-shot,15,0.0,1,13,1
activation_k_pca_h_minus_wk_pca_h,activation_k_pca_h_K2_V16,wk_pca_h_K2_V16,triviaqa,Few-shot,15,-0.9523809523809528,0,14,1
activation_k_pca_h_minus_wk_pca_h,activation_k_pca_h_K2_V16,wk_pca_h_K2_V16,samsum,Few-shot,15,-2.0837038173207474,9,0,6
activation_k_pca_h_minus_wk_pca_h,activation_k_pca_h_K2_V16,wk_pca_h_K2_V16,passage_count,Synthetic,15,16.666666666666664,4,10,1
activation_k_pca_h_minus_wk_pca_h,activation_k_pca_h_K2_V16,wk_pca_h_K2_V16,passage_retrieval_en,Synthetic,15,3.3333333333333335,4,8,3
activation_k_pca_h_minus_wk_pca_h,activation_k_pca_h_K2_V16,wk_pca_h_K2_V16,lcc,Code,15,2.933333333333334,6,1,8
activation_k_pca_h_minus_wk_pca_h,activation_k_pca_h_K2_V16,wk_pca_h_K2_V16,repobench-p,Code,15,-3.533333333333333,8,1,6
attention_q_pca_h_minus_wk_pca_h,attention_q_pca_h_K2_V16,wk_pca_h_K2_V16,qasper,Single QA,15,-8.448161588054194,3,4,8
attention_q_pca_h_minus_wk_pca_h,attention_q_pca_h_K2_V16,wk_pca_h_K2_V16,multifieldqa_en,Single QA,15,1.3129695957465486,7,3,5
attention_q_pca_h_minus_wk_pca_h,attention_q_pca_h_K2_V16,wk_pca_h_K2_V16,hotpotqa,Multi QA,15,3.047619047619047,3,10,2
