bit_width,seed,horizon_steps,step,minibatch_mse,last_10_step_mean,ema_mse,learning_rate,gradient_norm,optimizer_elapsed_seconds,evaluation_elapsed_seconds
2,17,100,0,,,,0.005,,0.0,0.10623885691165924
2,17,100,10,0.0006921064341440797,0.0007512882759328932,0.0008405141678264029,0.004883759226200989,5.964598312857561e-05,0.21451736986637115,0.14367381483316422
2,17,100,20,0.0006357302190735936,0.0006582377653103321,0.0007664669706705958,0.0045464153616405,5.01686918141786e-05,0.2964048981666565,0.18107660114765167
2,17,100,30,0.0006024005124345422,0.0006147985404822975,0.0007050936223608421,0.004020989974194624,4.587180956150405e-05,0.37834757566452026,0.2185477614402771
2,17,100,40,0.0005721095367334783,0.0005847522057592869,0.0006563658726177955,0.0033589153616404984,4.372046532807872e-05,0.46027449518442154,0.25597719848155975
2,17,100,50,0.0005535698146559298,0.0005613172077573835,0.0006179065641383,0.002624999999999997,4.016626189695671e-05,0.5422262474894524,0.29349102824926376
2,17,100,60,0.0005337571492418647,0.0005439565284177661,0.0005879439978801016,0.0018910846383594984,3.800209742621519e-05,0.6241368055343628,0.33107077330350876
2,17,100,70,0.0005306490929797292,0.0005322852113749832,0.000565466138655726,0.0012290100258053754,3.5966233554063365e-05,0.7061106935143471,0.3684599995613098
2,17,100,80,0.0005237828008830547,0.0005209934373851865,0.0005475379122075787,0.0007035846383594995,3.333724816911854e-05,0.7880182862281799,0.4059346690773964
2,17,100,90,0.0005198400467634201,0.0005164585949387401,0.0005349932556164283,0.0003662407737990102,3.140217449981719e-05,0.8699647337198257,0.44340481609106064
2,17,100,100,0.0005132758524268866,0.0005125997529830783,0.0005259862724251853,0.00025,3.072736581088975e-05,0.9519361779093742,0.48081737011671066
2,17,200,0,,,,0.005,,0.0,0.03858812153339386
2,17,200,10,0.0006920966552570462,0.0007513108081184328,0.0008405226341606485,0.00497075980891345,5.959884583717212e-05,0.08297868072986603,0.07616514712572098
2,17,200,20,0.0006360461702570319,0.0006584575166925788,0.0007665594145225787,0.004883759226200987,5.044054705649614e-05,0.1649330109357834,0.11353980749845505
2,17,200,30,0.00060200912412256,0.000615047657629475,0.0007052421229626806,0.00474114049494737,4.671120041166432e-05,0.2468552514910698,0.1510322466492653
2,17,200,40,0.0005711175035685301,0.0005845556268468499,0.0006563680176119182,0.004546415361640498,4.535085099632852e-05,0.32879815250635147,0.18853923678398132
2,17,200,50,0.0005521606653928757,0.0005604658625088632,0.0006175543323645416,0.004304378605318047,4.2577070416882634e-05,0.4113750234246254,0.22600442171096802
2,17,200,60,0.0005314426962286234,0.0005421545589342714,0.0005869893449988895,0.00402098997419462,4.2057330574607477e-05,0.49324940145015717,0.2635257691144943
2,17,200,70,0.0005262523191049695,0.0005288371874485164,0.0005634672959829617,0.003703227436881418,4.076521145179868e-05,0.5752163901925087,0.3008599132299423
2,17,200,80,0.0005150606157258153,0.0005145089933648705,0.0005436680233841315,0.0033589153616404932,3.9167589420685545e-05,0.6577577441930771,0.3383248895406723
2,17,200,90,0.0005050491308793426,0.0005051943589933217,0.000528047821003036,0.0029965318544705405,3.733722405740991e-05,0.7396446689963341,0.37575663626194
2,17,200,100,0.0004954430041834712,0.0004964794381521643,0.0005152773846570771,0.002624999999999991,3.685809133457951e-05,0.8215994611382484,0.4131498411297798
